name,volume,latitude,longitude
Albany,16067800,42.65258,-73.756233
Atlanta,88605119,33.748997,-84.387985
Baltimore,134713919,39.290386,-76.61219
Boise,14413188,45.488535,-0.599103
Boston,97273985,42.360081,-71.058884
Buffalo,22962470,42.886448,-78.878372
Charlotte,35555544,35.227085,-80.843124
Chicago,133702339,41.878113,-87.629799
Cincinnati,44522008,39.103119,-84.512016
Columbus,29993361,39.961178,-82.998795
Dallas Ft. Worth,208419287,32.776665,-96.796989
Denver,138902536,39.739235,-104.99025
Detroit,63422419,42.331429,-83.045753
Grand Rapids,30211736,42.96336,-85.668083
Scranton,41808859,41.40897,-75.662415
Hartford,50670537,41.765804,-72.67337
Houston,203167868,29.760427,-95.369804
Indianapolis,30263391,39.768402,-86.158066
Jacksonville,28790005,30.332184,-81.655647
Las Vegas,54376906,36.169941,-115.139832
Los Angeles,507896548,34.052235,-118.243683
Louisville,16097002,38.252666,-85.758453
Miami,97673224,25.761681,-80.191788
Nashville,35612089,36.162663,-86.781601
New Orleans,45695137,29.951065,-90.071533
New York,240734128,40.712776,-74.005974
Orlando,58660704,28.538336,-81.379234
Philadelphia,71838798,39.952583,-75.165222
Phoenix,195643313,33.448376,-112.074036
Pittsburgh,18806346,40.440624,-79.995888
Portland,110552212,45.51223,-122.658722
Raleigh,48202732,35.779591,-78.638176
Richmond,42230851,37.540726,-77.43605
Roanoke,25042011,37.270969,-79.941429
Sacramento,75163747,38.581573,-121.4944
San Diego,89791920,32.715736,-117.161087
San Francisco,135830192,37.774929,-122.419418
Seattle,109214178,47.606209,-122.332069
Spokane,15565275,47.658779,-117.426048
St. Louis,32072833,38.627003,-90.199402
Syracuse,10942668,43.048122,-76.147423
Tampa,66004539,27.950575,-82.457176
